date,open,high,low,close,volume,factor
1995-01-03,27.4917,27.5763,27.4823,27.5387,10000,1
1995-01-04,27.6609,27.6703,27.5199,27.6703,10000,1
1995-01-05,27.6891,27.7361,27.6421,27.6703,10000,1
1995-01-06,27.7267,27.8207,27.6139,27.6985,10000,1
1995-01-09,27.6891,27.7267,27.6703,27.7267,10000,1
1995-01-10,27.7925,27.9053,27.7549,27.7549,10000,1
1995-01-11,27.8489,27.8489,27.5575,27.7737,10000,1
1995-01-12,27.7455,27.8019,27.6891,27.7831,10000,1
1995-01-13,27.9335,28.1121,27.8959,28.1121,10000,1
1995-01-16,28.1027,28.2906,28.1027,28.2812,10000,1
1995-01-17,28.2248,28.3094,28.1872,28.2906,10000,1
1995-01-18,28.2718,28.3188,28.1966,28.2624,10000,1
1995-01-19,28.1684,28.1966,28.0839,28.1027,10000,1
1995-01-20,28.0651,28.0745,27.9429,27.9993,10000,1
1995-01-23,27.8113,28.0839,27.7925,28.0839,10000,1
1995-01-24,28.0745,28.1215,28.0557,28.1215,10000,1
1995-01-25,27.9805,28.3,27.9805,28.1966,10000,1
1995-01-26,28.1778,28.2624,28.1215,28.2248,10000,1
1995-01-27,28.4128,28.4128,28.2248,28.3376,10000,1
1995-01-30,28.2812,28.3,28.1778,28.2154,10000,1
1995-01-31,28.2718,28.3752,28.2248,28.3282,10000,1
1995-02-01,28.3658,28.4692,28.2718,28.3188,10000,1
1995-02-02,28.3094,28.488,28.3094,28.488,10000,1
1995-02-03,28.6666,28.9392,28.6196,28.8922,10000,1
1995-02-06,28.8828,29.0989,28.8546,29.0143,10000,1
1995-02-07,29.0613,29.0613,28.958,29.0519,10000,1
1995-02-08,29.0143,29.1553,28.9955,29.0519,10000,1
1995-02-09,29.0049,29.0519,28.9486,29.0519,10000,1
1995-02-10,29.0143,29.0895,28.9298,29.0895,10000,1
1995-02-13,29.0707,29.1553,29.0707,29.0989,10000,1
1995-02-14,29.1929,29.1929,29.0237,29.1365,10000,1
1995-02-15,29.1365,29.3339,29.1083,29.2963,10000,1
1995-02-16,29.2587,29.2869,29.1741,29.2587,10000,1
1995-02-17,29.2305,29.2493,29.1365,29.1459,10000,1
1995-02-21,29.1459,29.1929,29.1271,29.1365,10000,1
1995-02-22,29.1647,29.3527,29.1459,29.3527,10000,1
1995-02-23,29.4655,29.5689,29.3903,29.3997,10000,1
1995-02-24,29.4373,29.4843,29.3621,29.4749,10000,1
1995-02-27,29.3903,29.4749,29.1929,29.2399,10000,1
1995-02-28,29.2117,29.4843,29.2117,29.4843,10000,1
1995-03-01,29.4561,29.4937,28.1309,29.2963,10000,1
1995-03-02,29.2869,29.3339,29.2023,29.3339,10000,1
1995-03-03,29.2399,29.3433,29.1647,29.3433,10000,1
